Zone;Box;pt0;pt1;pt2;pt3;pt4;pt5;pt6;pt7
Reservoir;Box_0 [m];0:0.67:0;0:0:0;0.41:0:0;0.41:0.67:0;0:0.67:0.4;0:0:0.4;0.41:0:0.4;0.41:0.67:0.4
Tank;Box_1 [m];0.5:0.67:0;0.5:0:0;0.9:0:0;0.9:0.67:0;0.5:0.67:0.4;0.5:0:0.4;0.9:0:0.4;0.9:0.67:0.4
World;Box_2 [m];Unknown...

Time [s];Nok_Reservoir;Nok_Tank;Nok_World;Nout_Reservoir;Nout_Tank;Nout_World;Input_Reservoir;Input_Tank;Input_World;Output_Reservoir;Output_Tank;Output_World;InVel_Reservoir [m/s];InVel_Tank [m/s];InVel_World [m/s];InVolume_Reservoir [m^3];InVolume_Tank [m^3];InVolume_World [m^3];InFlow_Reservoir [m^3/s];InFlow_Tank [m^3/s];InFlow_World [m^3/s];OutVolume_Reservoir [m^3];OutVolume_Tank [m^3];OutVolume_World [m^3];OutFlow_Reservoir [m^3/s];OutFlow_Tank [m^3/s];OutFlow_World [m^3/s]
0.350022;83450;29294;15566;0;0;0;0;1262;1913;1107;806;1262;0;1.19779;1.44555;0;0.000775026;0.00117482;0;0.0777888;0.117916;0.000679836;0.000494985;0.000775026;0.0682347;0.0496813;0.0777888
0.36002;82102;29619;16589;0;0;0;0;1220;2243;1348;895;1220;0;1.19656;1.40043;0;0.000749233;0.00137748;0;0.074944;0.137786;0.000827841;0.000549642;0.000749233;0.082807;0.0549794;0.074944
0.370057;80880;30134;17296;0;0;0;0;1383;2090;1222;868;1383;0;1.18281;1.40094;0;0.000849335;0.00128352;0;0.0846144;0.12787;0.000750461;0.000533061;0.000849335;0.0747641;0.0531058;0.0846144
0.380025;79712;30551;18047;0;0;0;0;1268;2019;1168;851;1268;0;1.16519;1.36984;0;0.000778711;0.00123992;0;0.0781233;0.124393;0.000717298;0.00052262;0.000778711;0.0719621;0.0524313;0.0781233
0.390067;78451;30827;19032;0;0;0;0;1169;2154;1261;893;1169;0;1.15357;1.35209;0;0.000717912;0.00132283;0;0.0714955;0.131738;0.000774412;0.000548414;0.000717912;0.0771222;0.0546155;0.0714955
0.400051;77325;31199;19786;0;0;0;0;1235;1989;1126;863;1235;0;1.14906;1.34165;0;0.000758444;0.00122149;0;0.0759618;0.122338;0.000691505;0.00052999;0.000758444;0.0692575;0.053081;0.0759618
0.410077;76081;31664;20565;0;0;0;0;1328;2107;1244;863;1328;0;1.14298;1.29487;0;0.000815558;0.00129396;0;0.0813461;0.129063;0.000763972;0.00052999;0.000815558;0.0762007;0.0528627;0.0813461
0.420008;74959;31974;21377;0;0;0;0;1133;1945;1122;823;1133;0;1.12533;1.29504;0;0.000695804;0.00119447;0;0.070065;0.120279;0.000689048;0.000505425;0.000695804;0.0693848;0.0508945;0.070065
0.430011;73830;32371;22109;0;0;0;0;1247;1979;1129;850;1247;0;1.11487;1.28752;0;0.000765814;0.00121535;0;0.0765569;0.121496;0.000693347;0.000522006;0.000765814;0.0693125;0.0521839;0.0765569
0.440023;72724;32690;22896;0;0;0;0;1161;1948;1106;842;1161;0;1.10852;1.26925;0;0.000712999;0.00119632;0;0.0712112;0.119483;0.000679222;0.000517093;0.000712999;0.0678377;0.051645;0.0712112
0.450078;71612;32999;23699;0;0;0;0;1170;1973;1112;861;1170;0;1.09232;1.25286;0;0.000718526;0.00121167;0;0.0714622;0.120509;0.000682907;0.000528762;0.000718526;0.0679196;0.0525889;0.0714622
