Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
85;0.850034;39993;  3.415930477588E+01;  2.042339815487E+00; -5.725221825114E+02;  5.735439640711E+02
86;0.860073;39993;  3.699061274268E+01;  2.362344908749E+00; -5.774829963387E+02;  5.786713204962E+02
87;0.870002;39993;  3.488874981016E+01;  2.027826545284E+00; -5.771094055118E+02;  5.781665874763E+02
88;0.880076;39993;  3.761958356739E+01;  2.097155286365E+00; -5.718743588209E+02;  5.731142236979E+02
89;0.890053;39993;  4.126814560499E+01;  2.377846517387E+00; -5.655251068751E+02;  5.670338265940E+02
90;0.900064;39993;  4.398543222660E+01;  2.894713672157E+00; -5.627186879916E+02;  5.644425740768E+02
91;0.910076;39993;  4.483787736432E+01;  2.580847962294E+00; -5.673873719503E+02;  5.691621261744E+02
92;0.920048;39993;  4.461567111695E+01;  3.618833096568E+00; -5.670089706078E+02;  5.687730890364E+02
93;0.930076;39993;  4.391028099833E+01;  3.927521341340E+00; -5.632281681581E+02;  5.649508895541E+02
94;0.940014;39993;  4.491882490861E+01;  3.599009062988E+00; -5.595493779953E+02;  5.613609891258E+02
95;0.950011;39993;  4.626448001307E+01;  3.905524708858E+00; -5.611684018727E+02;  5.630858109512E+02
96;0.960006;39993;  5.101903532421E+01;  3.697672003405E+00; -5.616954811414E+02;  5.640198828750E+02
97;0.970077;39993;  5.288016138492E+01;  4.280238851002E+00; -5.628728985744E+02;  5.653676077229E+02
98;0.980023;39993;  5.502966394575E+01;  4.584850257556E+00; -5.637309323513E+02;  5.664290324970E+02
99;0.990015;39993;  5.523798065410E+01;  3.387352675654E+00; -5.640963376926E+02;  5.668045402633E+02
100;1.000022;39993;  5.353175645713E+01;  3.054068492724E+00; -5.647722093783E+02;  5.673117527161E+02
101;1.010044;39993;  5.177719733020E+01;  3.503556878563E+00; -5.633262254450E+02;  5.657115778807E+02
102;1.020080;39993;  5.085120325368E+01;  3.094796493110E+00; -5.626083711976E+02;  5.649102601115E+02
103;1.030048;39993;  5.109897238051E+01;  3.031185782479E+00; -5.665940466265E+02;  5.689016670200E+02
104;1.040049;39993;  5.429511198054E+01;  4.972736781714E+00; -5.850259025284E+02;  5.875610554872E+02
105;1.050014;39993;  6.037069310868E+01;  1.692974797113E+01; -6.034425958324E+02;  6.066911927973E+02
106;1.060015;39993;  6.749014312669E+01;  1.719695970470E+01; -6.043569573957E+02;  6.083567923472E+02
107;1.070013;39993;  6.822607517493E+01;  1.396256655430E+01; -5.887085950346E+02;  5.928132593542E+02
108;1.080029;39993;  5.655042774792E+01;  8.958251212335E+00; -5.746662361377E+02;  5.775114579815E+02
109;1.090039;39993;  4.414623791750E+01;  4.544878729218E+00; -5.644047634408E+02;  5.661468742646E+02
110;1.100020;39993;  3.583709522286E+01;  3.184680061462E+00; -5.593558024270E+02;  5.605116888075E+02
111;1.110014;39993;  3.288362356211E+01;  2.223750405836E+00; -5.587297811321E+02;  5.597010327741E+02
112;1.120001;39993;  3.310016670683E+01;  3.687845489532E-01; -5.587744700678E+02;  5.597541115862E+02
113;1.130013;39993;  3.529386451087E+01; -6.645413721620E-01; -5.570272597294E+02;  5.581446645530E+02
114;1.140018;39993;  3.829662983254E+01; -2.352275245317E+00; -5.550365445101E+02;  5.563611514089E+02
115;1.150063;39993;  4.027663591800E+01; -2.210368065052E+00; -5.557262263906E+02;  5.571882373366E+02
116;1.160001;39993;  3.993559544055E+01; -1.481802150233E+00; -5.590995184809E+02;  5.605259307886E+02
117;1.170002;39993;  3.889926874069E+01; -1.179902121066E+00; -5.616847783573E+02;  5.630313805783E+02
118;1.180032;39993;  3.887601413272E+01; -5.026091385924E-01; -5.636841078241E+02;  5.650233362475E+02
119;1.190066;39993;  3.851963652889E+01;  9.696748649711E-01; -5.652548718785E+02;  5.665666534928E+02
120;1.200021;39993;  3.892817091600E+01;  2.756171307637E+00; -5.700226317043E+02;  5.713569809027E+02
121;1.210032;39993;  4.113326448838E+01;  7.278295848670E+00; -5.731942166326E+02;  5.747143020832E+02
122;1.220070;39993;  4.243593749836E+01;  1.347141586104E+01; -5.753421584816E+02;  5.770622905397E+02
123;1.230050;39993;  4.128830757456E+01;  1.253871165594E+01; -5.755010510194E+02;  5.771164556282E+02
124;1.240039;39993;  3.848957242425E+01;  5.903923055643E+00; -5.723286005665E+02;  5.736517502103E+02
125;1.250046;39993;  3.416803070233E+01; -4.672490497843E-01; -5.643860780807E+02;  5.654195944386E+02
126;1.260071;39993;  2.989145491491E+01; -4.158086166803E+00; -5.556886751475E+02;  5.565075852535E+02
127;1.270038;39993;  2.741104792083E+01; -4.883858464077E+00; -5.498107141732E+02;  5.505152486910E+02
